"","MKTRF","SMB","HML","RMW","CMA","UMD","HMLM","QMJ","BAB","LIQ","STR","LTR","REG","IVOL","SUE","IA","ROE","IMD","NI","BETA","PEAD","FIN"
"23",-0.1275,-0.0727,0.0399,-0.0258,0.0169,0.0866,0.016850852,0.020256688,-0.041218374,-0.02655529,-0.0467,-0.0237,0.02074,0.1106,0.026987,0.019573,-0.011296,-0.082,0.0658,0.1657,0.045,0.0884
"24",0.0061,-0.0466,0.0394,-0.0269,0.0241,0.1038,0.008563653,-0.021607976,0.015966076,-0.01675243,0.0039,0.0252,0.046139,0.0375,0.047568,0.025183,0.036506,0.028,0.0353,0.0484,0.0488,0.0669
"25",-0.0017,0.1039,0.06,-0.0318,0.0448,-0.0885,0.122377022,-0.033187704,-0.020478442,0.10250596,0.0923,0.0766,-0.005604,-0.1278,-0.07308,0.021051,-0.048138,0.0037,-0.0688,-0.1539,-0.0065,-0.0256
"26",-0.0047,0.0012,0.025,-0.0187,0.0262,0.0032,0.028743989,-0.02084999,0.023720277,0.03769419,0.0073,0.045,0.014503,0.0026,-0.039525,0.021209,-0.010446,0.0059,-0.0158,-0.0142,-0.0016,0.0178
"27",-0.0281,0.0261,-0.0012,0.0279,0.0045,-0.0105,0.011999023,0.031433657,0.006302533,0.04482981,0.0412,-0.0026,0.011626,-0.0112,0.020286,-0.000555,0.018113,-0.0297,0.0272,0.0156,0.0078,0.0132
"28",-0.0529,-0.0069,0.0087,0.0288,0.0208,0.0211,-0.00692155,0.032549944,-0.034767402,0.02300093,-0.0139,0.0127,0.025414,0.0428,0.015662,0.023752,0.022129,-0.04,0.0231,0.0119,0.0202,0.0281
"29",-0.0468,-0.0308,-0.0207,0.0493,-0.004,-0.0039,-0.01736443,0.044734727,-0.01596129,0.0588293,-0.0272,-0.0302,0.002895,0.0769,-0.016674,-0.003302,0.022782,-0.1063,0.0368,0.0307,-0.0061,0.0226
"30",-0.0283,2e-04,0.0079,0.0062,0.029,0.0231,-0.006402095,0.01700974,-0.003709363,-0.00960425,-0.0095,-0.0188,0.021438,0.0619,0.033949,0.015998,0.015496,-0.1369,0.0168,0.0284,0.0076,0.0315
"31",-0.0805,0.0192,0.0517,-0.0326,0.046,0.0309,0.05776017,-0.015007703,-0.002797987,-0.00559386,0.0086,0.0332,0.056777,-0.0459,0.048088,0.044292,0.025567,-0.064,-0.0515,0.031,0.0144,0.0724
"32",-0.0935,0.0026,0.0264,-0.0028,0.026,0.03,0.018857372,0.001541592,-0.04774567,-0.03185659,0.0204,0.0202,0.048505,0.0332,-0.003113,0.031493,0.029559,-0.1031,0.0134,-0.0096,0.0283,0.0235
"33",-0.1177,0.0148,0.0559,-0.0443,0.0592,0.0424,0.066058941,-0.023790675,-0.01094608,0.02156429,0.0326,0.0124,0.033901,0.0179,-0.016214,0.048696,-0.022994,-0.0723,-0.0749,0.0395,0.028,0.0748
"34",0.161,-0.0682,-0.0988,-0.0022,-0.0287,-0.0054,-0.0744145,0.015134591,0.04575053,-0.07688055,0.0872,-0.052,0.010374,-0.0145,0.208703,-0.015064,0.088862,0.275,0.0231,0.0573,0.0385,-0.0925
"35",-0.0451,-0.0148,-0.002,-0.0335,0.0294,0.0214,-0.003494382,-0.013332829,-0.014655073,-0.02330062,-0.003,2e-04,0.013758,0.0254,0.001238,0.025432,0.017201,-0.0029,-0.0372,-6e-04,0.0254,0.008
"36",-0.0345,-0.0435,0.0011,-0.0069,0.0326,0.0292,-0.003405083,0.010129457,-0.026678629,0.01523821,-0.0038,-0.04,0.02046,0.1089,0.010925,0.021589,0.004744,-0.0651,0.005,0.0848,0.0179,0.0267
"37",0.1366,0.1292,0.0827,-0.0076,-0.0092,-0.1382,0.184504238,-0.057674636,0.048352276,0.10876389,0.1457,0.1451,-0.05404,-0.2167,-0.160178,-0.005177,-0.116181,0.2351,-0.0925,-0.2535,-0.0574,0.0099
"38",0.0556,-0.0065,-0.0444,0.0115,-0.0212,-0.006,-0.055616704,0.027513917,-0.006909632,0.03662677,0.0455,8e-04,0.006132,0.0099,0.02754,-0.016716,0.036046,-0.0445,0.0919,-0.0105,0.0089,-0.0221
"39",0.0266,0.0399,0.0239,0.0123,-0.0131,-0.0204,0.035586518,0.000137457,-0.040624718,0.05969079,0.035,0.0486,-0.017983,-0.1004,0.012363,-0.006366,-0.017338,0.0039,0.0139,-0.1456,0.0072,-0.0201
"40",0.0423,-0.0072,-0.0113,0.0142,-0.0135,0.0138,-0.03659439,0.029034635,0.011480839,0.00217849,-0.0046,-0.0199,0.023097,0.0266,0.033993,-0.000429,0.033684,0.0762,0.0835,-0.017,0.0203,-0.0262
"41",0.0519,0.0289,-0.041,-0.0099,-0.0061,-0.0058,0.006061624,-0.017090812,0.013928718,-0.03349678,0.0376,0.0205,-0.000167,-0.0532,0.014844,-0.001207,-0.002673,0.0191,-0.0154,-0.002,-0.005,-0.0333
"42",0.0483,0.0142,0.014,-0.0266,0.011,2e-04,0.040383826,-0.036739298,0.029462175,-0.01748245,0.0329,0.025,-0.006513,-0.0227,-0.035073,0.003474,-0.015818,0.0964,-0.059,-0.0503,-0.0034,-0.014
"43",-0.0659,0.0344,0.0169,0.0046,0.0123,0.0045,0.035756877,-0.006478749,0.040149207,-0.00961332,0.0122,0.0079,0.017009,-0.0132,-0.022207,0.014388,-0.013503,-0.0734,-0.0302,0.0294,-0.001,0.0161
"44",-0.0285,-0.0284,-0.0094,0.0112,-0.0093,-0.001,-0.001087721,0.020049354,-0.002918257,-0.00855122,0.0064,-0.0237,0.013638,0.0551,-0.02469,-0.001799,0.006885,-0.0646,0.0121,0.0346,0.0011,0.0437
"45",-0.0426,5e-04,0.0043,0.0053,0.0055,0.0041,0.00639054,0.014984584,0.025599498,-0.01921566,-0.0031,-0.014,0.033382,0.0324,0.021485,0.013519,0.016797,-0.1373,-0.0065,0.0166,0.0266,0.0103
"46",0.0531,-0.0422,0.0027,-0.0048,0.022,-0.0016,-0.013371425,0.000194666,0.019407183,0.09069118,0.0156,0.0075,0.02567,0.0755,0.042157,0.030056,0.026814,0.0227,0.0085,-0.0147,0.0255,3e-04
"47",0.0264,-0.011,0.0205,-0.0068,0.0178,-0.0045,0.008326052,-0.00173348,0.014735058,0.03623193,-0.0252,0.0225,0.015634,0.0208,0.016642,0.015715,0.006636,0.0567,0.0101,-0.0017,0.0314,0.0251
"48",-0.016,-5e-04,0.0169,-9e-04,0.0058,-0.0011,0.03407373,-0.014317638,-0.018006098,-0.00279676,0.0326,-0.0032,0.004767,-0.0183,-0.024186,-0.000397,-0.022506,0.0175,-0.0066,0.0133,-0.0047,0.0055
"49",0.1216,0.0632,0.0857,-0.0179,0.0227,0.0445,0.066378689,-0.028363329,0.02537268,0.01889973,0.0284,0.0915,0.008707,-0.1039,-0.09235,0.014885,-0.026663,0.1378,0.0016,-0.159,0.0078,0.0409
"50",0.0032,0.0798,0.0582,-0.026,0.0383,0.0038,0.050704584,-0.024675943,0.006636341,-0.04154115,-0.0248,0.049,0.008706,-0.1487,-0.050022,0.021577,-0.037503,0.0218,-0.0125,-0.1013,0.0062,0.02
"51",0.0232,-0.0139,-0.0011,-0.0033,0.0094,0.0015,0.006556049,0.001401525,-0.004513341,-0.01547489,0.0443,0.003,0.016181,0.0203,0.037451,0.017157,0.024346,0.0663,0.0416,0.0215,-0.0044,-0.0089
"52",-0.0149,8e-04,-0.0014,0.004,-0.0108,0.0059,0.023998134,-0.00862174,0.025014008,-0.02147658,0.0213,-0.0181,0.000357,0.0313,-0.006782,-0.007475,-0.003256,-0.0202,-0.018,0.0609,0.0083,0.0257
"53",-0.0134,-0.011,-0.0135,0.0245,-0.014,-0.0112,-7.28e-05,0.012797951,0.002107629,-0.03940119,-0.0077,-0.0343,0.003295,0.021,-0.023324,-0.009763,0.005098,-0.0166,-0.02,0.0469,0.0097,-0.0068
"54",0.0405,-0.0107,0.0069,-0.0067,0.0101,-0.0042,0.003650487,-0.013739002,-0.013355611,-0.00663523,0.0063,0.0169,0.009442,-0.0045,0.019631,0.013378,-0.000551,0.086,-0.0126,-0.0146,0.0041,-0.0031
"55",-0.0107,0.0063,0.0173,-0.0105,0.0028,-0.0013,0.022994604,-0.001969146,0.01865967,-0.02832679,0.0168,0.004,0.016276,0.008,0.003775,0.009278,0.007571,-0.0287,-0.0024,0.0477,0.0197,0.0171
"56",-0.0056,-0.0198,0.0081,-0.0041,-0.0055,-0.0085,0.013758833,-0.00149047,0.01383447,0.01810316,-0.0204,0.0029,0.005722,0.0464,-0.007491,-0.00618,-4.3e-05,-0.0477,-0.016,0.059,8e-04,0.0064
"57",0.0207,0.001,-0.0029,0.0098,-0.0115,0.0022,0.000902291,0.008194041,0.017246592,-0.01575295,-0.0032,-0.0042,0.009964,0.0131,0.01451,-0.014035,0.011188,-0.0131,-0.0144,0.0149,0.006,-0.0114
"58",-0.0242,0.0013,-0.0018,-0.0019,-0.0037,-0.0044,0.002926836,-0.000884867,0.011174309,0.00653387,0.0114,-0.0159,-0.004868,0.0209,-0.001675,-0.011201,0.003243,0.0124,-0.0158,0.0446,0.0057,-5e-04
"59",0.0036,0.0266,0.0151,-0.0141,9e-04,0.0289,0.013637785,-0.020057386,0.004498295,-0.02436709,0.0054,0.0119,0.001493,-0.025,-0.026927,-0.002689,-0.004753,-0.0184,-0.0301,-0.0262,0.0208,-0.0016
"60",0.0565,0.0364,0.0227,-0.0062,0.0228,0.0073,0.035461184,-0.008860058,0.031660721,-0.01139266,0.0364,0.0285,0.010763,-0.0685,-0.040306,0.018221,-0.011085,0.1324,-0.0105,-0.0433,-0.0024,0.0172
"61",-0.0405,0.059,0.0427,-0.0051,0.0197,0.0401,0.051414923,-0.0262774,0.040722653,-0.03086918,0.0054,0.0088,0.016761,-0.0554,-0.02967,0.0099,-0.021441,-0.0565,-0.0283,0.0158,0.0083,0.0192
"62",-0.0194,0.0107,0.0047,-0.0016,-0.0022,0.0036,0.003314708,0.020748946,0.024888832,-0.00920798,0.0138,-0.0147,0.004082,0.0025,0.000335,0.001256,0.012463,-0.0386,0.0131,0.0172,-0.004,0.0064
"63",-0.0137,0.0131,0.0109,-0.003,-6e-04,0.0055,0.007854426,-0.00847717,0.012299049,0.01040882,0.0103,-0.0076,-0.003667,-0.0132,-0.024032,-0.001641,0.003317,-0.0216,-0.028,-0.0106,0.0098,-0.006
"64",0.0015,0.0061,0.0338,-0.0202,0.0114,0.0421,0.025563327,-0.017346029,0.010556623,-0.02282789,-0.0122,0.0022,0.007442,-8e-04,-0.017737,0.012008,0.00394,-0.0091,-0.0319,0.0322,0.0143,0.0267
"65",-0.0145,0.0131,0.0085,0.0033,0.0019,0.0203,0.008450185,-0.007003177,0.010353183,0.0163649,-0.0032,0.0026,0.027093,0.0028,0.049994,0.002077,0.017533,-0.0191,-0.0183,0.0061,0.0263,0.0138
"66",0.0471,0.0208,-0.0074,0.0091,-0.012,0.0166,-0.018193845,-0.008332775,-0.002228567,0.0239562,9e-04,0.0323,0.029305,-0.0337,0.045921,-0.007021,0.023262,0.0677,0.0055,-0.0527,0.0025,-0.035
"67",-0.0169,0.0188,-0.0057,0.0074,9e-04,0.0036,0.012496579,0.009183749,0.028602888,0.00139087,0.0104,0.0149,0.023918,0.0069,0.045478,0.010332,0.017145,0.0078,-0.0062,-0.0138,-0.0078,-0.018
"68",-0.0175,0.0086,-0.0273,0.0099,-0.0069,-0.017,-0.031509699,0.030539988,0.003436746,0.03093138,-0.0071,0.034,-0.000814,-0.0011,0.023569,-0.009021,0.013871,-0.0177,0.0226,-0.0294,0.0193,-0.0043
"69",-0.0027,0.0143,-0.0046,0.0145,-0.0084,0.02,-0.002432784,0.003504451,0.004117827,0.01013275,0.0083,0.0054,0.015197,0.0021,0.024061,-0.000303,0.01387,-0.0225,-0.0029,-0.001,0.0109,-0.0071
"70",-0.0438,0.0148,0.0181,-0.0019,-0.0029,-8e-04,0.01373457,0.010512497,0.001830078,-0.01274382,0.0176,-0.0107,0.011235,0.0103,-0.003109,-0.005693,-0.010036,-0.0684,-0.0262,0.012,-0.0082,0.017
"71",0.04,0.0364,0.0023,-0.0013,0.0071,0.0201,0.001828353,-0.006435687,0.002795324,0.00334035,0.0222,0.0333,0.014899,-0.0428,0.029052,0.01232,0.025707,0.0517,-0.0056,-0.0729,0.0343,0.0151
"72",0.0027,0.0159,-0.003,0.0091,-0.0069,0.0158,-0.002404207,0.003708116,0.023692078,-0.00705913,-0.0013,-0.0169,0.018089,0.0049,0.01164,0.000767,0.012335,-0.0242,0.0054,9e-04,0.0124,0.0047
"73",-0.0601,0.0272,0.0336,-0.017,0.0152,-0.0066,0.029250739,-0.010831403,0.002343174,0.00736737,0.0107,0.0148,0.002845,-0.0434,0.0017,0.009892,-0.016999,-0.067,0.0118,-0.0129,0.0047,0.0211
"74",-0.0138,0.037,0.0083,0.0033,0.0104,0.0197,0.004902356,-0.000427321,0.014906454,0.00018492,0.0117,-0.0068,0.0167,-0.0211,-0.007531,0.013223,0.000683,-0.0208,-0.0162,-0.0199,-0.009,0.0137
"75",0.0285,0.0371,0.0116,-0.0059,0.0188,0.0137,0.023514847,-0.014324801,0.016333055,0.01715305,-0.0027,0.0075,0.00143,-0.0512,-0.027581,0.025273,0.000172,0.057,0.0055,-0.0685,0.0133,0.0137
"76",0.0788,-0.0027,-0.0357,0.0283,-0.0129,0.0086,-0.039755326,0.030293191,0.032063802,0.03159316,0.0022,0.0192,0.00556,1e-04,0.017191,-0.003498,0.055164,0.1199,0.0263,-0.0615,0.007,0.0142
"77",0.0176,0.0458,-0.0053,0.0024,0.0037,0.0283,-0.015092143,0.005293821,0.022119808,0.01451886,8e-04,-0.0017,0.005451,-0.0872,0.027624,0.009017,0.005084,0.0074,-2e-04,-0.0723,0.0081,0.0198
"78",-0.0169,0.0156,0.0057,-0.0141,-3e-04,0.0275,-0.005123515,-0.003196045,0.020994443,0.01060351,0.0135,5e-04,0.012015,-0.0156,0.027086,0.004806,0.014368,-0.0326,-0.0045,-0.0148,0.0149,-0.0084
"79",0.0511,0.0013,-0.0111,0.0155,-0.0079,0.0418,-0.030016966,0.012704216,0.003736011,0.0302821,0.009,0.0057,0.026592,0.0031,0.018572,0.002897,0.018154,0.0673,0.033,-0.0797,0.0327,0.0113
"80",0.0375,0.0495,-0.0057,0.0141,0.0044,0.0283,-0.004333615,0.006387081,0.046494565,-0.00056369,0.0087,-0.0051,0.006506,-0.0644,-0.006071,0.011571,0.019141,0.06,-0.0136,-0.0603,0.0055,0.0567
"81",-0.0143,-0.0031,0.0186,-0.0065,0.018,-0.0314,0.040332289,-0.009777388,0.023893631,-0.0272171,0.0365,-0.0075,-0.00844,0.0256,-0.043227,0.002503,-0.035431,-0.0097,-0.002,0.0575,-0.021,-0.0094
"82",-0.1191,-0.1007,0.0139,0.0018,0.0099,-0.0846,0.043630756,0.033603631,-0.037531851,0.04372945,-0.0184,-0.0013,0.009919,0.2107,0.034404,0.006056,-0.011491,-0.1016,0.0151,0.1579,-0.0072,0.0082
"83",0.0271,0.0285,-0.0214,0.0111,-0.0119,0.0547,-0.01800487,-0.005031361,-0.042139482,-0.03258404,0.0915,-0.0078,0.015463,-0.0631,0.00295,-0.010503,0.012959,0.0038,0.0013,-0.044,-0.0196,-0.0183
"84",0.0088,0.0112,-0.0213,0.0195,-0.0138,0.0303,-0.030067764,0.023846889,0.002198208,0.00261659,-0.0039,0.0025,0.024851,0.0192,0.047401,-0.010899,0.026744,-9e-04,0.0117,-0.0244,0.0085,0.0071
"85",0.0423,0.0379,0.022,-0.0249,0.0151,-0.0136,0.041896355,-0.026946301,0.033404001,-0.00987982,0.0562,-0.0065,-0.013198,-0.0561,-0.040105,0.016757,-0.012149,0.027,-0.018,-0.0202,-0.0171,0.0235
"86",-0.0356,0.0054,0.0114,-0.0111,0.0096,-0.0106,0.021110795,-0.008881877,0.010367175,-0.02962058,0.0131,0.0092,0.00471,-2e-04,-0.023089,-0.004869,-0.02391,-0.0494,-0.0129,0.0587,0.0117,0.0055
"87",0.0568,0.032,-0.0073,0.0051,0.0028,0.0293,-0.015798402,-0.017241874,-0.013533424,-0.0054805,0.0147,-0.0036,0.005342,-0.066,-0.017082,0.007803,0.023604,0.0633,0.0024,-0.0674,0.0109,0.0198
"88",-6e-04,0.024,0.0108,0.0111,0.0021,0.0081,-0.002369235,0.009538933,0.011289344,0.01765909,-0.004,-0.0043,-0.002849,-0.0337,-0.002914,0.007971,0.018657,0.016,0.0094,-0.0056,-0.0013,0.0152
"89",-0.0221,0.0017,0.0132,-0.0155,-0.0027,-0.0054,0.015428298,-0.01528259,-0.00123253,-0.02151047,0.0117,0.0071,0.004436,0.0138,-0.005656,-0.000713,-0.006288,0.0048,-0.0364,0.0216,-0.008,-0.011
"90",0.0385,0.0099,0.0139,-0.0159,-0.0047,0.0084,0.004813957,-0.02943184,0.016492012,-0.01708665,0.0119,-0.0271,-0.017343,-0.0299,-0.005435,-0.008834,-0.010448,0.0846,-0.0165,-0.0027,0.0183,-0.0228
"91",0.0082,0.0127,0.0186,-0.0028,0.0071,-0.0107,0.013892425,0.005734627,0.016003727,-0.01701357,0.0062,-0.02,-0.006536,0.0135,-0.011968,0.006496,0.005454,0.025,-0.0132,-0.0194,-1e-04,0.0238
"92",0.0553,0.0192,-0.0158,0.016,-0.0147,-0.0021,-0.019746491,0.009980028,0.019564485,0.0151875,0.0079,-0.0167,-0.000151,-0.0021,0.034457,-0.003274,0.029163,0.0396,0.0239,-0.0478,0.0044,0.0062
"93",-0.0082,-0.0033,-0.009,0.01,0.0032,0.0528,-0.011487231,0.000547019,0.00393789,-0.01024127,-0.0163,0.0013,0.028441,-0.01,0.024401,-0.00135,0.006865,-0.0321,0.0139,-0.0083,0.0054,-0.0074
"94",-0.081,-0.0351,-0.0186,0.01,0.001,0.0201,-0.01062367,0.022134343,-0.0470251,-0.000515,-0.0194,0.0153,0.016684,0.0646,0.032564,0.000298,0.009917,-0.1098,0.0094,0.0651,-0.0037,-0.0128
"95",0.0521,0.0253,-0.0328,2e-04,-0.0212,0.0814,-0.037160412,-0.022131084,-0.016003002,-0.0679793,0.0131,-0.0227,-0.003745,-0.0305,0.049336,-0.025351,0.022845,0.0522,-0.0352,-0.0526,0.0146,-0.0245
"96",0.0179,0.0432,-0.021,-0.0072,-0.009,0.0478,-0.037477563,-0.012566145,0.008357882,-0.01646801,-0.0189,-0.0036,-0.001797,-0.0814,0.005435,-0.011101,0.01234,0.0248,-0.022,-0.0759,0.0092,0.0109
"97",0.0551,0.0182,0.0175,-0.0169,0.0171,0.0755,-0.027070979,-0.027369926,0.026310745,0.00135218,-0.0341,-0.0069,0.003912,-0.0675,-0.007676,0.013755,0.017091,-0.0047,-0.0089,-0.0459,0.0131,0.0098
"98",-0.0122,-0.0158,0.0061,7e-04,0.027,0.0788,-0.031409107,-0.02003907,-0.015324238,0.01930311,-0.0491,-1e-04,0.035816,-0.0139,0.037535,0.016355,0.023128,-0.0953,0.0761,0.0397,0.0535,0.0107
"99",-0.129,-0.0692,-0.0101,0.0145,-0.0116,-0.0955,0.069970421,0.047030482,-0.047090934,0.02745496,0.0846,0.0251,-0.010137,0.1967,-0.010449,0.00758,-0.011889,-0.0066,0.0136,0.0959,-0.0287,-9e-04
"100",0.0397,0.0105,0.0108,-0.0206,0.0027,-0.0043,0.01861993,-0.033720834,0.020881379,-0.00952238,0.014,-5e-04,0.014404,-0.0094,0.055926,0.012171,0.00156,0.083,-0.031,0.0203,0.0089,-0.042
"101",0.0526,0.021,0.0038,0.0032,-0.0032,-0.0112,0.009822798,0.006910566,0.036483373,-0.0078098,0.0284,0.0083,-0.007841,-0.0253,0.0062,-0.013668,-0.009026,0.0633,0.0077,-0.0352,0.0054,0.0366
"102",0.0306,0.0142,-0.0076,-0.0016,-0.0128,0.0162,-0.016472624,-0.011145856,0.036928037,0.01063233,0.0224,-0.028,0.008495,-0.0192,0.014391,-0.011238,0.030751,0.0455,-0.0412,-0.0039,0.0038,0.006
"103",0.0649,0.0382,-0.0641,0.0405,-0.0238,0.0035,-0.053412943,0.035135423,-0.009418458,-0.00699638,0.0295,-0.0162,-0.033008,-0.0086,-0.024808,-0.022835,-0.004309,0.0157,0.0248,-0.1424,-0.0107,0.0018
"104",0.018,0.0426,-0.0261,0.0207,-0.0087,0.0321,-0.032097703,-0.001185467,0.015236304,0.01334038,-0.0084,-0.0155,0.015091,-0.0521,0.027897,0.00636,0.025095,0.0022,-0.007,-0.067,0.0122,0.0083
"105",0.0219,0.0066,-0.0458,0.019,-0.0277,0.0539,-0.04277283,0.011998265,0.012859699,0.00989653,-0.0152,-0.0172,0.023078,-0.0391,0.057516,-0.004989,0.051692,-0.0138,-0.0403,-0.0747,0.0045,-0.0077
"106",0.0106,0.0236,-0.0279,0.0169,-0.0118,0.073,-0.050690961,0.00460151,-0.002188795,0.02669153,-0.0196,-0.0273,0.026543,-0.0407,0.045161,0.005113,0.040511,-0.009,0.0096,-0.0491,0.0198,-0.022
"107",0.0959,-0.0331,-0.0833,0.0451,-0.0571,0.1522,-0.107136586,0.010008204,-0.062560404,0.03009778,-0.0971,-0.0788,0.00889,-0.0537,0.019254,-0.018971,0.090081,0.0457,-0.0337,-0.1249,-0.031,-0.0516
"108",-0.0452,-0.0029,0.0279,-0.0129,0.0123,-0.0668,0.056548334,0.008938577,0.009158151,0.02694688,0.0638,0.0345,0.001451,0.0853,0.024947,0.009228,-0.013007,0.1275,0.0296,0.0771,0.0046,0.0144
"109",-0.0504,0.0329,0.0672,-0.0353,0.0435,-0.0795,0.08894774,-0.005520847,0.047138164,0.0396638,-0.0229,0.0756,0.005626,0.0574,-0.026764,0.024284,-0.048625,-0.0265,0.0149,0.0861,0.0356,0.0407
"110",0.0057,-0.0051,0.0102,0.0021,0.0227,-0.0135,0.010472015,0.014480448,0.019599999,0.00287617,-0.0233,0.0257,0.016871,0.0192,0.001859,0.018933,0.007188,0.0382,0.0313,0.0201,0.0199,0.0323
"111",0.0356,0.0303,0.0064,-0.0226,-0.0052,0.0074,0.012586348,-0.011038191,0.036671215,0.01465041,0.0159,0.0154,-0.018552,-0.0263,0.01641,-0.017882,-0.013251,0.0206,-0.0477,-0.099,0.0103,0.0357
"112",-0.0211,0.0459,0.0228,0.0083,0.0122,-0.0091,0.022964699,0.013367979,0.056691679,-0.01873627,-0.0149,0.0274,0.010888,0.0102,0.026137,0.023542,0.013307,0.0197,-0.0168,0.0055,0.0159,0.0209
"113",0.0011,0.0245,-0.0042,0.003,-0.0154,0.037,-0.012105404,-0.014997005,-0.003580777,-0.026426,-0.0378,0.0159,0.016626,-0.001,0.046314,-0.005217,-0.000417,0.0755,-0.0262,-0.0221,0.0119,0.0052
"114",-0.0236,-0.0095,0.0513,-0.0137,0.0269,-0.0581,0.068636376,0.010392813,0.054433899,0.06166828,0.0478,0.0099,0.019106,0.0603,-0.07851,0.027179,-0.000395,0.004,0.0155,0.0779,2e-04,0.0353
"115",-0.0154,-0.0205,-0.0049,0.0126,-0.0255,-0.0245,0.001622182,0.004779584,-0.013369019,-0.01321385,-0.0056,-0.0349,-0.006191,-0.0189,-0.016618,-0.019549,0.031499,-0.0427,-0.0022,0.0041,8e-04,-0.0104
"116",-0.0704,-0.0181,0.0479,-0.0031,0.0141,-0.0115,0.036634578,0.005523088,0.020031312,-0.00157323,-0.0065,0.013,0.022329,0.047,0.005177,0.01212,0.007439,-0.042,0.0227,0.0857,-0.0031,0.0394
"117",-0.0717,-0.0244,0.0517,0.0012,0.0261,0.0195,0.037500529,0.007161498,-0.016216668,0.09324899,-0.0111,0.0513,0.039739,0.1267,0.037618,0.035847,0.006353,-0.0159,0.0266,0.106,0.007,0.0418
"118",0.0492,0.0236,-0.0421,0.0314,-0.0301,0.0401,-0.048338191,0.008321751,-0.019378011,-0.02447171,0.0455,-0.0493,-0.010121,-0.0774,0.074769,-0.010037,0.047524,0.0739,-0.0438,-0.0932,0.0327,-0.0482
"119",0.0336,-0.0151,0.0185,7e-04,0.0096,-0.0027,0.030530947,0.008823889,0.04369903,0.06097189,0.0267,0.0064,0.019895,0.0281,-0.024473,0.004675,0.005365,0.0331,-0.0032,0.0365,-0.0104,0.0308
"120",-0.0365,0.012,0.0082,0.0022,0.025,0.013,0.005392051,0.018572265,0.022087442,0.00956992,0.0166,0.014,0.013694,0.0563,-0.039414,0.019064,-0.004911,-0.0516,0.0311,0.0151,-0.0025,0.0148
"121",-0.0324,-0.0113,0.0319,-0.0149,0.0192,0.0172,0.024095749,0.001180259,0.00023393,-0.01978417,-0.0137,0.0634,0.008418,0.0865,-0.03197,0.020678,-0.01437,-0.005,0.0236,0.0592,0.0051,0.0345
"122",-0.0586,0.0035,0.0605,-0.0343,0.0456,0.0488,0.040514243,0.003916251,0.03022817,-0.01144574,-0.0431,0.0595,0.035564,0.0593,-0.008133,0.047787,0.003372,-0.0115,-0.0216,0.0867,0.0209,0.0429
